shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
800_to_658,9.08396,37.38756,522,51951.70
800_to_658,9.08445,37.3891,523,52129.35
800_to_658,9.08517,37.39092,524,52344.63
800_to_658,9.08526,37.39124,525,52381.16
800_to_658,9.08525,37.39134,526,52392.20
800_to_658,9.08524,37.39143,527,52402.14
800_to_658,9.08519,37.39157,528,52418.49
800_to_658,9.08506,37.39179,529,52446.64
800_to_658,9.08477,37.39197,530,52484.46
800_to_658,9.08452,37.39201,531,52512.61
800_to_658,9.08432,37.39197,532,52535.27
800_to_658,9.08242,37.39099,533,52772.37
800_to_658,9.08113,37.39032,534,52933.57
800_to_658,9.0809,37.39026,535,52959.98
800_to_658,9.08066,37.39032,536,52987.47
800_to_658,9.08047,37.39046,537,53013.60
800_to_658,9.08035,37.39067,538,53040.24
800_to_658,9.07978,37.39188,539,53187.44
800_to_658,9.07896,37.39355,540,53392.23
800_to_658,9.07835,37.39473,541,53538.48
800_to_658,9.07814,37.39497,542,53573.69
800_to_658,9.07796,37.39503,543,53594.76
800_to_658,9.07767,37.395,544,53627.17
800_to_658,9.07567,37.39464,545,53853.05
800_to_658,9.07541,37.39465,546,53881.98
800_to_658,9.07524,37.39472,547,53902.39
800_to_658,9.07508,37.39488,548,53927.39
800_to_658,9.07402,37.39686,549,54174.70
800_to_658,9.07384,37.39711,550,54208.67
800_to_658,9.07363,37.39732,551,54241.49
800_to_658,9.07079,37.39983,552,54660.63
800_to_658,9.07015,37.4004,553,54755.41
800_to_658,9.06938,37.4011,554,54870.47
800_to_658,9.06745,37.40281,555,55155.62
800_to_658,9.06728,37.40306,556,55188.95
800_to_658,9.06712,37.40337,557,55227.36
800_to_658,9.06702,37.40373,558,55268.42
800_to_658,9.067,37.40413,559,55312.40
800_to_658,9.06702,37.40452,560,55355.28
800_to_658,9.06712,37.4052,561,55430.77
800_to_658,9.06712,37.40554,562,55468.11
800_to_658,9.06708,37.40573,563,55489.44
800_to_658,9.06692,37.406,564,55524.02
800_to_658,9.0666,37.40626,565,55569.64
800_to_658,9.06655,37.4063,566,55576.72
800_to_658,9.06486,37.40761,567,55813.38
800_to_658,9.06247,37.40955,568,56153.97
800_to_658,9.06229,37.4098,569,56187.95
800_to_658,9.06217,37.41008,570,56221.46
800_to_658,9.06208,37.41067,571,56287.02
800_to_658,9.06208,37.4109,572,56312.27
800_to_658,9.06217,37.41158,573,56387.61
800_to_658,9.06217,37.41193,574,56426.04
800_to_658,9.06196,37.41328,575,56576.11
800_to_658,9.0619,37.41357,576,56608.64
800_to_658,9.0614,37.41496,577,56771.09
800_to_658,9.06135,37.41518,578,56795.88
800_to_658,9.06136,37.4154,579,56820.06
800_to_658,9.06144,37.4156,580,56843.75
800_to_658,9.06178,37.41608,581,56908.62
800_to_658,9.06185,37.41625,582,56928.84
800_to_658,9.06186,37.41643,583,56948.64
800_to_658,9.06184,37.41664,584,56971.81
800_to_658,9.0615,37.41751,585,57074.55
800_to_658,9.06135,37.41777,586,57107.61
800_to_658,9.06119,37.41802,587,57140.32
800_to_658,9.06095,37.41824,588,57176.32
800_to_658,9.06011,37.4187,589,57282.51
800_to_658,9.05923,37.41915,590,57392.13
800_to_658,9.05899,37.41921,591,57419.62
800_to_658,9.05877,37.41921,592,57444.08
800_to_658,9.05762,37.41895,593,57575.10
800_to_658,9.05719,37.41891,594,57623.12
800_to_658,9.05692,37.419,595,57654.72
800_to_658,9.05661,37.41924,596,57698.11
800_to_658,9.05638,37.41959,597,57744.28
800_to_658,9.05583,37.42066,598,57876.74
800_to_658,9.05548,37.42111,599,57939.64
