shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
328_to_837,8.8804,38.75944,561,62249.03
328_to_837,8.88108,38.75878,562,62353.79
328_to_837,8.88144,38.75841,563,62410.84
328_to_837,8.88174,38.75809,564,62459.31
328_to_837,8.88226,38.75754,565,62542.94
328_to_837,8.88259,38.75714,566,62600.19
328_to_837,8.88397,38.75549,567,62837.69
328_to_837,8.88496,38.75429,568,63009.44
328_to_837,8.88506,38.75418,569,63025.86
328_to_837,8.8851,38.75413,570,63032.93
328_to_837,8.88541,38.75377,571,63085.39
328_to_837,8.88572,38.75345,572,63134.63
328_to_837,8.88594,38.75323,573,63169.01
328_to_837,8.88619,38.75303,574,63204.45
328_to_837,8.88652,38.75278,575,63250.28
328_to_837,8.88692,38.75251,576,63303.74
328_to_837,8.88702,38.75245,577,63316.67
328_to_837,8.88732,38.75229,578,63354.38
328_to_837,8.88792,38.75203,579,63426.95
328_to_837,8.88839,38.75188,580,63481.75
328_to_837,8.88864,38.75181,581,63510.59
328_to_837,8.88888,38.75177,582,63537.64
328_to_837,8.88921,38.75171,583,63574.92
328_to_837,8.88959,38.75166,584,63617.53
328_to_837,8.89006,38.75163,585,63669.90
328_to_837,8.89091,38.75163,586,63764.41
328_to_837,8.89227,38.75164,587,63915.64
328_to_837,8.89296,38.75165,588,63992.37
328_to_837,8.8962,38.75169,589,64352.67
328_to_837,8.89698,38.75169,590,64439.40
328_to_837,8.89737,38.7517,591,64482.78
328_to_837,8.89803,38.75171,592,64556.18
328_to_837,8.89858,38.75169,593,64617.38
328_to_837,8.89914,38.75165,594,64679.80
328_to_837,8.89962,38.75156,595,64734.08
328_to_837,8.90017,38.75142,596,64797.14
328_to_837,8.90124,38.75101,597,64924.36
328_to_837,8.90141,38.75092,598,64945.69
328_to_837,8.90217,38.75042,599,65046.49
